path,trajectory_len,anchor_label,anchor_severity,final_label,final_severity,anchor_equals_final,time_to_agreement,post_agreement_flips,agree_on_anchor
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c1_path_disclosure_fileinclude_20260319_fix\history10_40_55.json,1,FileInclusion,Medium,FileInclusion,Medium,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c2_path_disclosure_fileinclude_20260319_fix\history11_06_27.json,1,FileInclusion,High,FileInclusion,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c3_path_disclosure_fileinclude_20260319_fix\history11_07_02.json,16,FileInclusion,Medium,FileInclusion,Low,False,0,1,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c4_path_disclosure_fileinclude_20260319_fix2\history11_13_43.json,16,FileInclusion,High,FileInclusion,Medium,False,7,0,False
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c5_path_disclosure_fileinclude_20260319_fix\history11_22_20.json,16,FileInclusion,Medium,FileInclusion,Medium,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c6_path_disclosure_fileinclude_20260319_fix\history11_28_14.json,13,FileInclusion,Low,FileInclusion,Low,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\path_disclosure\error_message_path_disclosure_001\c7_path_disclosure_fileinclude_20260319_fix2\history11_31_30.json,16,FileInclusion,Medium,FileInclusion,Medium,True,6,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c1_info_apache_20260317\history12_20_57.json,1,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c2_info_apache_20260317\history12_21_36.json,1,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c3_info_apache_20260317\history12_22_35.json,16,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c4_info_apache_20260317\history12_30_08.json,16,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c5_info_apache_20260317\history12_49_43.json,16,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c6_info_apache_20260317\history12_55_06.json,13,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\info_findings\c7_info_apache_20260317\history12_59_54.json,16,NoFinding,Info,NoFinding,Info,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c1_csrf_guard_20260319_fix\history12_06_53.json,1,CSRF,High,CSRF,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c2_csrf_guard_20260319_fix2\history13_09_18.json,1,CSRF,High,CSRF,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c3_csrf_guard_20260319_fix\history12_10_56.json,16,CSRF,High,CSRF,High,True,6,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c4_csrf_guard_20260319_fix\history12_17_02.json,16,CSRF,High,CSRF,High,True,3,0,True
