anchor,path,rounds,final_x,accept_round,x_series
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\1.1\history16_18_29.json,16,2,7,"[-7, -9, -7, -5, -4, -6, -4, -2, -1, -3, -4, -2, -3, -2, 0, 2]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\10.1\history17_17_59.json,16,1,11,"[-7, -9, -7, -8, -9, -10, -8, -7, -8, -6, -4, -2, 0, 2, 0, 1]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\11.1\history17_23_16.json,16,5,3,"[-7, -5, -3, -1, 1, 0, 1, 2, 1, 2, 4, 5, 3, 2, 3, 5]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\12.1\history17_28_12.json,16,3,8,"[-7, -9, -7, -8, -6, -7, -5, -4, -2, -3, -1, 0, -2, 0, 2, 3]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\13.1\history17_33_05.json,16,4,8,"[-7, -8, -9, -7, -8, -7, -5, -3, -1, 1, 2, 1, 0, 1, 3, 4]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\14.1\history17_37_50.json,16,3,6,"[-7, -5, -3, -4, -5, -4, -2, 0, -1, 0, 1, 3, 5, 3, 2, 3]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\15.1\history17_42_58.json,16,-3,4,"[-7, -5, -5, -3, -1, -3, -1, -2, -3, -5, -3, -2, -3, -2, -1, -3]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\2.1\history16_24_09.json,17,-5,,"[-7, -8, -6, -8, -6, -8, -9, -7, -9, -8, -9, -7, -5, -4, -6, -6, -5]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\3.1\history16_30_18.json,16,-3,10,"[-7, -5, -7, -8, -9, -7, -8, -6, -5, -3, -1, -2, -1, -2, -1, -3]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\4.1\history16_45_40.json,16,0,10,"[-7, -6, -8, -9, -10, -8, -6, -5, -6, -4, -2, -4, -5, -3, -1, 0]"
